,id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,cash_equivalents,trading_assets,bill_receivable,account_receivable,advance_payment,other_receivable,affiliated_company_receivable,interest_receivable,dividend_receivable,inventories,expendable_biological_asset,non_current_asset_in_one_year,total_current_assets,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,total_non_current_assets,total_assets,shortterm_loan,trading_liability,notes_payable,accounts_payable,advance_peceipts,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,affiliated_company_payable,non_current_liability_in_one_year,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,specific_reserves,surplus_reserve_fund,treasury_stock,retained_profit,equities_parent_company_owners,minority_interests,foreign_currency_report_conv_diff,irregular_item_adjustment,total_owner_equities,total_sheet_owner_equities,other_comprehesive_income,deferred_earning,settlement_provi,lend_capital,loan_and_advance_current_assets,derivative_financial_asset,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,bought_sellback_assets,hold_sale_asset,loan_and_advance_noncurrent_assets,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,derivative_financial_liability,sold_buyback_secu_proceeds,commission_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,hold_sale_liability,estimate_liability_current,deferred_earning_current,preferred_shares_noncurrent,pepertual_liability_noncurrent,longterm_salaries_payable,dother_equity_tools,preferred_shares_equity,pepertual_liability_equity
0,243220,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2016-04-29,2015-01-01,2015-12-31,2015-12-31,0,321003,定期报告,88819798560.53,,14879805537.96,2879212111.93,847929149.71,254016643.0,,1109776449.77,,9473942712.51,,,120949314644.95,2704719177.56,,,95459187.55,491540849.66,15431813077.2,2044837830.02,,22010122.57,,,2656143811.74,,,8182375.95,8764376136.27,40748701670.11,161698016315.06,6276660136.03,,7427635753.74,24794268372.47,7619598042.86,1697282605.51,2977801480.55,48386709.75,707913.6,2607601936.21,,2403745557.37,112625180977.76,,,,,,244136559.35,506226759.38,113131407737.14,6015730878.0,185950626.71,,3499671556.59,,37737187489.78,47521376091.77,1045232486.15,,,48566608577.92,161698016315.06,-124928526.03,134571708.03,,,,,,,,1000000000.0,,7872619001.46,8000000.0,566612235.82,,1189028366.37,,,,,,,,,,,,127518492.0,,,
1,243225,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2016-04-30,2016-01-01,2016-03-31,2016-03-31,0,321003,定期报告,96283536194.74,,17111144057.13,5235150323.46,1917587773.57,549292606.34,,932521291.45,,5342041652.51,,,128778985877.77,2684159785.67,,,95553576.33,558472022.49,15645265521.69,2149493519.93,,41725426.49,,,3074540960.36,,,6271097.27,9164170730.61,43499692321.38,172278678199.15,6550888798.13,,8416380304.16,23246650747.88,13720738584.43,1858581079.48,3532697359.15,44862784.3,707913.6,2573161297.08,,1201150982.84,120077092541.25,,,,,,182583952.35,447408851.9,120524501393.15,6015730878.0,185950626.71,,3499671556.59,,40897003622.77,50692736952.15,1061439853.85,,,51754176806.0,172278678199.15,-113383798.64,137306407.55,,,,,,,,,,9286186944.09,,143659836.51,,991659220.29,,,,,,,,,,,,127518492.0,,,
2,243226,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2016-08-19,2016-01-01,2016-06-30,2016-06-30,0,321003,定期报告,99421338271.59,,10775719710.53,5911516049.59,2174768708.87,225067493.9,,942629100.14,56005415.7,5560650797.46,,,126611638581.23,2724863736.98,,,96312946.77,579258166.68,16765105244.3,1080867024.16,,45143522.76,,,3059574890.05,,,25310027.93,10905978139.36,45479174248.62,172090812829.85,6888413424.34,,8810932373.06,24442447172.39,4612234606.58,1795542499.6,3624567785.46,61535880.54,9024304230.6,2480516259.51,,361044870.39,125605648130.99,,,,,,198665759.11,483862870.23,126089511001.22,6015730878.0,185950626.71,,3499671556.59,,35116061158.42,44912538585.42,1088763243.21,,,46001301828.63,172090812829.85,-112639701.02,157678619.12,,,,,,,,,,9065860164.91,1930349.08,229792780.87,90000000.0,1445111443.22,499800000.0,,,,,,,,,,,127518492.0,,,
3,243227,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2016-10-31,2016-01-01,2016-09-30,2016-09-30,0,321003,定期报告,97233682681.51,,27355163103.23,3523258092.12,4318277916.85,232169511.39,,735331090.24,,5027048393.56,,,139458570212.44,1365578031.96,,,100657441.57,594313925.91,16724391378.63,1154410212.09,,41461185.86,,,3273238834.05,,,25187814.29,10877293387.4,42248898377.0,181707468589.44,10199268718.6,,8199161640.21,29096457285.22,11741684515.11,1642912958.02,3728309728.61,52611048.16,707913.6,2918607359.2,,,130444863656.27,,,,,,100280316.35,398911868.97,130843775525.24,6015730878.0,188400626.71,,3499671556.59,,39942650433.63,49745060847.28,1118632216.92,,,50863693064.2,181707468589.44,-109156714.37,171113060.62,,,,,,,,,,7010059680.22,5612194.22,444419060.5,,440021608.62,,,,,,,,,,,,127518492.0,,,
4,243228,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2017-04-27,2016-01-01,2016-12-31,2016-12-31,0,321003,定期报告,95613130731.47,,29963355478.45,2960534651.37,1814945790.78,244984154.67,,1045542563.43,,9024905239.41,,,142910783531.64,1384303560.4,,,103913171.51,597736633.95,17681655478.06,581543756.84,,36949646.14,,,3355276284.72,,,1051286.89,9667717152.15,39458921517.71,182369705049.35,10701081645.32,,9127336849.68,29541466861.1,10021885515.93,1702949427.06,3126302754.29,41781977.25,87732811.56,2222613974.82,,,126876279738.73,,,,,,280009411.36,569822520.11,127446102258.84,6015730878.0,183400626.71,,3499671556.59,,44074949590.07,53863951278.13,1059651512.38,,,54923602790.51,182369705049.35,-177172013.61,172081044.75,,,,250848418.63,,,,,,4737184235.79,4274000.0,145241859.45,,394763490.33,,,,,,,,,,,,117732064.0,,,
5,243232,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2017-04-29,2017-01-01,2017-03-31,2017-03-31,0,321003,定期报告,109270142432.62,,18054606382.3,6105301579.24,3941782741.49,527316621.77,,1164000540.36,,13422432006.57,,,154648907329.96,2296237080.31,,,102357841.82,592143961.7,17430426167.56,757413687.08,,31226044.73,,,3510508400.5,,,1024177.6,10011692338.52,44115474268.24,198764381598.2,16388722126.8,,11296168130.56,30815964573.82,13361623007.18,1717426815.08,1437138244.43,60949582.79,707913.6,2245507498.46,,,139242762690.91,,,,,,281785525.26,574469198.34,139817231889.25,6015730878.0,183400626.71,,3499671556.59,,48089486089.73,57866570968.17,1080578740.78,,,58947149708.95,198764381598.2,-189088823.23,174951609.08,,,,201396954.25,,,,,,8098222360.73,,226164284.5,,14744517.77,,,,,,,,,,,,117732064.0,,,
6,243233,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2017-08-31,2017-01-01,2017-06-30,2017-06-30,0,321003,定期报告,105317780491.57,,20996380299.95,7520506373.64,3531339946.13,261334931.64,,1448720039.5,21945636.56,13334522117.82,,,158624457090.11,1506525812.88,,,107500277.28,525565343.72,17254049224.05,918812535.58,,21333452.61,,,3516602784.85,,,5682914.73,12547965522.44,45953668857.17,204578125947.28,20346922605.21,,11246271957.97,31506922290.72,6294605526.51,1485250266.49,2896248141.87,124771618.94,10842874774.23,2236008099.58,,,150419506232.51,,,,,,301789567.99,605068101.59,151024574334.1,6015730878.0,183400626.71,,3499671556.59,,42699117309.35,52458215286.37,1095336326.81,,,53553551613.18,204578125947.28,-207075724.65,185546469.6,,,,206614810.75,,,,,,8688713134.42,,276595148.55,1100000000.0,300786113.7,207617922.32,,,,,,,,,,,117732064.0,,,
7,243234,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2017-10-31,2017-01-01,2017-09-30,2017-09-30,0,321003,定期报告,93379231775.14,,51604419892.06,4813254632.46,4930263273.03,224592470.12,,1327248109.38,,13117891015.03,,,174675486108.58,2473352194.44,,,105837006.96,520772955.42,17277720521.72,917987205.42,,18985906.32,,,3579083856.87,,,1625752.55,12111143494.27,46048296643.61,220723782752.19,19311768483.28,,9381964223.31,33760114470.1,28187512321.7,1654197958.96,3533583427.58,141660890.25,707913.6,2538761818.41,,,160471782713.9,,,,,,276809216.66,511576508.39,160983359222.29,6015730878.0,183400626.71,,3499671556.59,,48707342941.7,58623900225.47,1116523304.43,,,59740423529.9,220723782752.19,-49616417.9,117035227.73,,,,23710683.22,,,,,,8106336740.26,,235472327.76,700000000.0,900233757.75,,,,,,,,,,,,117732064.0,,,
8,296529,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2018-04-26,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,99610431730.4,602045597.22,32256413538.14,5814491641.18,3717874635.44,252825686.48,,1889248005.8,,16568347179.12,,,171534646159.36,2174941527.25,,,110391368.86,516630135.79,17467371455.63,1020709311.31,,14742800.07,,,3604467335.23,,,2208646.95,10838333080.79,43433353169.02,214967999328.38,18646095044.32,,9766929541.33,34552886331.56,14143038242.58,1876728937.34,3908873986.27,196103905.86,707913.6,2604482345.3,,,147490788889.61,,,,,,403487740.43,642412675.58,148133201565.19,6015730878.0,103880600.71,,3499671556.59,,55740076085.9,65595006071.74,1239791691.45,,,66834797763.19,214967999328.38,-91700671.13,126215974.15,,,,481055568.0,,,,,,6673429372.96,,266944787.77,,615777702.86,,,,,,,,,,,,112708961.0,,,
9,298411,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2018-04-27,2018-01-01,2018-03-31,2018-03-31,0,321003,定期报告,105175366822.32,305093362.79,21560945304.17,8550333342.44,4550379167.83,346944319.11,,2014707243.63,,15094709822.62,,,171538813236.56,2255822336.54,,,108611997.54,511562540.98,17488154262.39,1217395785.3,,16262140.54,,,3582921469.02,,,5136178.71,11173425938.15,46825839804.81,218364653041.37,20217697972.2,,10079424362.08,31761438435.5,12382848652.17,1884786894.59,2964481641.52,221933151.75,707913.6,2517058740.73,,,145511327005.58,,,,,,407428462.36,667138987.55,146178465993.13,6015730878.0,103880600.71,,3499671556.59,,61321700482.53,70920902129.44,1265284918.8,,,72186187048.24,218364653041.37,-347429010.06,147001564.19,,,,728413272.07,,,,,,9506619329.19,,280375026.8,500000000.0,80588408.54,729396717.5,,,,,,,,,,,112708961.0,,,
10,308035,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2018-08-31,2018-01-01,2018-06-30,2018-06-30,0,321003,定期报告,101945480371.83,514840242.42,27988220198.89,9636871209.07,4738151789.11,354563995.34,,1999247789.78,17351027.92,13115387542.03,,,171531118786.62,3161541966.74,,,123052234.01,507910043.13,17152475198.79,1305940232.71,,16377519.92,,,3663249214.85,,,4464882.52,11565169450.52,47535644865.13,219066763651.75,19680810111.85,,9429534235.68,36229817497.57,2075876609.85,2175594843.71,3951539947.71,285856426.77,707913.6,2439175793.45,,,138716515492.56,,,,,,454022477.56,706631417.38,139423146909.94,6015730878.0,103880600.71,,3499671556.59,,68546276549.25,78323539347.54,1320077394.27,,,79643616741.81,219066763651.75,-169367858.68,139899978.82,,,,16631138.59,,,,,,9147567831.62,,290284406.75,500000000.0,959993146.25,,,,,,,,,,,,112708961.0,,,
11,315575,430000651,珠海格力电器股份有限公司,000651.XSHE,000651,,,2018-10-31,2018-01-01,2018-09-30,2018-09-30,0,321003,定期报告,104269795692.01,408341647.2,50152115246.2,6602739787.21,5887023620.68,2189287295.26,,,,11662456349.15,,,197545709151.83,3572410869.86,,,121492879.76,495340557.56,17329055459.76,1439854211.32,,,,,4359130580.89,,,4345367.41,11270463232.35,49977110816.87,247522819968.7,25728955060.0,,,,13524560792.51,3152188055.33,5140153376.27,,,3860452272.65,,,158741680335.04,,,,,,472711727.74,732087091.24,159473767426.28,6015730878.0,103880600.71,,3499671556.59,,76858511837.92,86685395494.82,1363657047.6,,,88049052542.42,247522819968.7,-119747000.07,146666402.5,,,,314145716.04,,,,,,9273823590.86,,402163937.97,,608694156.88,,,,,,,,,,,,112708961.0,,,
